hz,magnitude
31540,1.05569
31560,24.6339
31580,1.0308
31600,1.97567
31620,1.46016
31640,1.12091
31660,5.49268
31680,1.00528
31700,2.64155
31720,1.27978
31740,1.22108
31760,3.12659
31780,1.0008
31800,4.11008
31820,1.15998
31840,1.37143
31860,2.21665
31880,1.01686
31900,9.69825
31920,1.08073
31940,1.60102
31960,1.74433
31980,1.05519
32000,25.5292
32020,1.03117
32040,1.97089
32060,1.46237
32080,1.1201
32100,5.53528
32120,1.00543
32140,2.63238
32160,1.28123
32180,1.21986
32200,3.13985
32220,1.00074
32240,4.08687
32260,1.16096
32280,1.3696
32300,2.22291
32320,1.0166
32340,9.56677
32360,1.08136
32380,1.59817
32400,1.7479
32420,1.05468
32440,26.4921
32460,1.03154
32480,1.96613
32500,1.4646
32520,1.1193
32540,5.57856
32560,1.00558
32580,2.62328
32600,1.2827
32620,1.21865
32640,3.15322
32660,1.00069
32680,4.06393
32700,1.16194
32720,1.36778
32740,2.22922
32760,1.01633
32780,9.43883
32800,1.08199
32820,1.59534
32840,1.75147
32860,1.05418
32880,27.5305
32900,1.03191
32920,1.96141
32940,1.46684
32960,1.1185
32980,5.62253
33000,1.00574
33020,2.61425
33040,1.28417
33060,1.21744
33080,3.16672
33100,1.00063
33120,4.04126
33140,1.16292
33160,1.36597
33180,2.23557
33200,1.01607
33220,9.31429
33240,1.08263
33260,1.59252
33280,1.75507
33300,1.05368
33320,28.6537
33340,1.03228
33360,1.9567
33380,1.46909
33400,1.1177
33420,5.66721
33440,1.00589
33460,2.60529
33480,1.28565
33500,1.21624
33520,3.18034
33540,1.00058
33560,4.01884
33580,1.1639
33600,1.36416
33620,2.24196
33640,1.01581
33660,9.19301
33680,1.08327
33700,1.58972
33720,1.75869
33740,1.05318
33760,29.8725
33780,1.03266
33800,1.95203
33820,1.47134
33840,1.1169
33860,5.71262
33880,1.00605
33900,2.59639
33920,1.28713
33940,1.21504
33960,3.19408
33980,1.00054
34000,3.99668
34020,1.16489
34040,1.36236
34060,2.24839
34080,1.01555
34100,9.07486
34120,1.08392
34140,1.58692
34160,1.76232
34180,1.05269
34200,31.1997
34220,1.03304
34240,1.94738
34260,1.47361
34280,1.11612
34300,5.75877
34320,1.00621
34340,2.58756
34360,1.28862
34380,1.21385
34400,3.20795
34420,1.00049
34440,3.97477
34460,1.16589
34480,1.36057
34500,2.25486
34520,1.0153
34540,8.95973
34560,1.08456
34580,1.58414
34600,1.76597
34620,1.0522
34640,32.6504
34660,1.03343
34680,1.94276
34700,1.47589
34720,1.11533
34740,5.80569
34760,1.00637
34780,2.57879
34800,1.29012
34820,1.21266
34840,3.22194
34860,1.00045
34880,3.95311
34900,1.16688
34920,1.35878
34940,2.26138
34960,1.01505
34980,8.8475
35000,1.08522
35020,1.58138
35040,1.76965
35060,1.05171
35080,34.2426
